"group_size","power","lower","upper","n_rounds"
30,0.48625,0.451095926234471,0.521505740248241,20
30,0.635,0.60056523880893,0.668435710124794,30
30,0.735,0.70296278597273,0.765294385428009,40
30,0.8275,0.799500542640992,0.853060140266887,50
30,0.9,0.877089149932003,0.919908626079528,60
40,0.62,0.585347549335682,0.653764576814943,20
40,0.79125,0.761413118094357,0.818922117497467,30
40,0.88,0.855446126217597,0.901709852272944,40
40,0.91875,0.897610072602051,0.936735643616298,50
40,0.97,0.955689808013695,0.980685835587741,60
50,0.7075,0.674627625966928,0.73883467587011,20
50,0.86875,0.843362786293649,0.891380951994668,30
50,0.93125,0.911449564057401,0.947791612087269,40
50,0.96625,0.951273616347202,0.977643037653372,50
50,0.98875,0.978751823274258,0.994843236892455,60
60,0.80875,0.779753596523031,0.835449437828579,20
60,0.935,0.915631637775136,0.951077473822613,30
60,0.975,0.961652640548066,0.984663994724631,40
60,0.98875,0.978751823274258,0.994843236892455,50
60,0.995,0.987247880611546,0.998636038525159,60
